Date,Time,Detection Area,Quadrant,Center X,Center Y,Object Area,Closest Point X,Closest Point Y,Distance,Angle from Center,Angle from Closest,New Angle,
27/04/2023,10:15:50,2,LEFT,153,274,120.5,164,275,162.3607095328177,-131.3138,-98.5308,793.48,
27/04/2023,10:15:51,2,LEFT,148,273,435.0,179,275,148.00675660252813,-132.0038,-98.9726,780.41,
27/04/2023,10:15:51,2,LEFT,124,268,189.0,132,275,193.31063085097003,-135.0,-97.719,726.87,
27/04/2023,10:15:51,2,LEFT,123,271,450.5,139,277,186.03763060198332,-135.5876,-97.5369,727.01,
27/04/2023,10:15:51,2,LEFT,130,267,1211.0,159,273,167.72000476985446,-133.9638,-98.7603,737.38,
27/04/2023,10:15:51,2,LEFT,118,266,1546.5,147,280,177.56407294269863,-135.5729,-97.1917,715.01,
27/04/2023,10:15:51,2,LEFT,125,271,204.5,137,275,188.45158529447292,-135.2953,-97.8355,730.69,
27/04/2023,10:15:51,2,LEFT,96,267,436.0,117,260,211.68136431911051,-138.6695,-99.8101,681.51,
27/04/2023,10:15:51,2,LEFT,105,266,1144.5,129,277,195.78048932414077,-137.3571,-97.3144,694.12,
27/04/2023,10:15:51,2,LEFT,95,269,868.5,122,277,202.6153992173349,-139.0856,-97.1663,681.1,
27/04/2023,10:15:51,2,LEFT,103,276,449.0,122,282,201.61349161204464,-139.0957,-96.3402,696.3,
27/04/2023,10:15:51,3,LEFT,61,276,137.5,69,282,253.86019774671254,-144.0253,-95.4951,0.0,
27/04/2023,10:15:52,2,LEFT,76,272,2031.5,114,280,209.84756372185979,-141.8013,-96.5198,657.66,
27/04/2023,10:15:52,2,LEFT,66,280,2371.5,104,299,217.0184323968819,-144.0801,-93.3385,648.9,
27/04/2023,10:17:25,2,LEFT,118,266,1546.5,147,280,177.56407294269863,-135.5729,-97.1917,715.01,
27/04/2023,10:19:11,2,LEFT,118,266,1546.5,147,280,177.56407294269863,-135.5729,-97.1917,715.01,
27/04/2023,10:32:10,2,LEFT,118,266,1546.5,147,280,177.56407294269863,-135.5729,-97.1917,715.01,
27/04/2023,10:36:08,2,LEFT,118,266,1546.5,147,280,177.56407294269863,-135.5729,-97.1917,715.01,
07/05/2023,18:18:59,3,LEFT,13,269,260.5,27,263,298.4928809871351,-147.5771,-97.4314,0.0,
07/05/2023,18:19:32,3,RIGHT,630,343,397.5,620,341,300.7341018241862,-21.3218,82.3332,0.0,
07/05/2023,18:19:32,3,RIGHT,632,343,235.0,623,341,303.7268509697488,-21.1973,82.4762,0.0,
07/05/2023,18:19:40,3,LEFT,168,278,315.5,187,280,138.88484438555562,-129.2558,-98.217,0.0,
07/05/2023,18:19:43,3,LEFT,181,251,111.5,189,253,147.13938969562162,-123.1277,-103.6926,0.0,
07/05/2023,18:19:45,3,RIGHT,344,292,421.5,323,297,23.194827009486403,-82.0565,-99.2645,0.0,
07/05/2023,18:19:46,2,RIGHT,362,296,145.0,343,299,31.144823004794873,-75.9638,-99.8458,1560.6,
07/05/2023,18:19:46,2,RIGHT,360,298,456.5,340,299,29.0,-76.4521,-99.6121,1663.09,
07/05/2023,18:19:47,2,RIGHT,356,303,148.5,345,304,29.68164415931166,-77.3959,-97.6577,1930.46,
07/05/2023,18:19:47,3,LEFT,198,276,235.0,219,280,108.63240768757728,-122.981,-99.2726,0.0,
07/05/2023,18:19:47,3,RIGHT,343,298,302.0,328,302,19.697715603592208,-82.1117,-97.5394,0.0,
07/05/2023,18:19:48,3,RIGHT,335,299,102.5,335,306,20.518284528683193,-84.8056,-96.1939,0.0,
07/05/2023,18:19:49,3,LEFT,343,294,521.5,317,299,21.213203435596427,-82.295,-98.1301,0.0,
07/05/2023,18:19:49,3,RIGHT,364,279,217.5,338,280,43.86342439892262,-76.6215,-107.6126,0.0,
